epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2418.82,0.0479,0.72757,0.89266,0.72983,0.79997,0.85317,0.85268,0.1004,0.86515,0.15443,2.92168e-05,2.92168e-05,2.92168e-05
40,2469.52,0.04792,0.72223,0.89066,0.71876,0.81804,0.85322,0.85322,0.11387,0.85002,0.16731,2.68804e-05,2.68804e-05,2.68804e-05
41,2562.93,0.07915,0.84045,0.93146,0.72015,0.77822,0.83748,0.83748,0.124,0.91328,0.18153,2.4544e-05,2.4544e-05,2.4544e-05
42,2624.17,0.05243,0.64753,0.90385,0.7667,0.73147,0.83987,0.83987,0.10683,0.84297,0.16304,2.22076e-05,2.22076e-05,2.22076e-05
43,2685.08,0.04725,0.61941,0.90579,0.78773,0.73692,0.85119,0.85119,0.12244,0.82927,0.17794,1.98712e-05,1.98712e-05,1.98712e-05
44,2746.73,0.04413,0.58039,0.89726,0.78279,0.75615,0.84114,0.84114,0.1092,0.87759,0.15968,1.75348e-05,1.75348e-05,1.75348e-05
45,2807.92,0.04213,0.57474,0.90617,0.71776,0.77909,0.85243,0.85243,0.10292,0.8113,0.15122,1.51984e-05,1.51984e-05,1.51984e-05
46,2869.25,0.04205,0.5629,0.89707,0.80855,0.7266,0.85393,0.85393,0.09797,0.80273,0.14485,1.2862e-05,1.2862e-05,1.2862e-05
47,2930.94,0.04079,0.54991,0.90421,0.78722,0.7412,0.85275,0.85275,0.10521,0.8461,0.15263,1.05256e-05,1.05256e-05,1.05256e-05
48,2992.42,0.03857,0.52928,0.9029,0.80432,0.7259,0.85077,0.85077,0.09743,0.82468,0.14311,8.1892e-06,8.1892e-06,8.1892e-06
49,3053.74,0.03877,0.52715,0.89699,0.78525,0.75436,0.86435,0.86435,0.09526,0.79058,0.14144,5.8528e-06,5.8528e-06,5.8528e-06
50,3108.02,0.03732,0.52526,0.90205,0.76731,0.75724,0.8633,0.8633,0.09037,0.79512,0.13511,3.5164e-06,3.5164e-06,3.5164e-06
